row_id,day_hour,client_ip,no_get,no_post,no_head
0,01/22/2019 03,66.111.54.249,376,0,0
1,01/22/2019 03,2.177.12.140,124,0,0
2,01/22/2019 03,46.224.77.32,23,0,0
3,01/22/2019 03,178.253.33.51,58,0,0
4,01/22/2019 03,54.36.148.87,15,0,0
5,01/22/2019 03,207.46.13.104,110,0,0
6,01/22/2019 03,54.36.149.35,4,0,0
7,01/22/2019 03,54.36.148.18,7,0,0
8,01/22/2019 03,2.179.141.98,28,35,0
9,01/22/2019 03,51.15.15.54,13,0,0
10,01/22/2019 03,2.185.221.79,10,0,0
11,01/22/2019 03,5.62.206.249,21,0,0
12,01/22/2019 03,17.58.102.43,55,0,0
13,01/22/2019 03,204.18.198.248,87,0,0
14,01/22/2019 03,54.36.148.32,1,0,0
15,01/22/2019 03,157.55.39.245,28,0,0
16,01/22/2019 03,207.46.13.136,96,0,0
17,01/22/2019 03,66.249.66.194,305,0,0
18,01/22/2019 03,54.36.149.17,2,0,0
19,01/22/2019 03,54.36.148.232,6,0,0
20,01/22/2019 03,54.36.148.117,5,0,0
21,01/22/2019 03,40.77.167.129,138,0,0
22,01/22/2019 03,66.249.66.91,229,0,0
23,01/22/2019 03,54.36.149.70,10,0,0
24,01/22/2019 03,34.247.132.53,8,0,0
25,01/22/2019 03,31.56.96.51,204,0,0
26,01/22/2019 03,54.36.148.17,5,0,0
27,01/22/2019 03,5.78.198.52,49,60,0
28,01/22/2019 03,66.249.64.66,6,0,0
29,01/22/2019 03,207.46.13.115,111,0,0
30,01/22/2019 03,172.20.2.174,24,0,0
31,01/22/2019 03,5.160.157.20,7,0,0
32,01/22/2019 03,54.36.149.92,33,0,0
33,01/22/2019 03,5.78.180.75,7,0,0
34,01/22/2019 03,89.199.193.251,31,0,0
35,01/22/2019 03,91.99.72.15,170,0,0
36,01/22/2019 03,54.36.148.10,2,0,0
37,01/22/2019 03,54.36.148.161,10,0,0
38,01/22/2019 03,173.249.54.67,54,0,0
39,01/22/2019 03,54.36.149.58,1,0,0
40,01/22/2019 03,54.36.149.63,16,0,0
41,01/22/2019 03,104.194.24.33,5,0,0
42,01/22/2019 03,5.209.200.218,285,0,0
43,01/22/2019 03,54.36.149.41,2,0,0
44,01/22/2019 03,5.211.97.39,241,0,28
45,01/22/2019 03,5.112.52.254,20,0,0
46,01/22/2019 04,5.211.97.40,113,108,110
47,01/22/2019 04,104.194.24.34,7,0,0
48,01/22/2019 04,2.177.12.141,107,39,77
49,01/22/2019 04,54.36.148.19,0,20,0
50,01/22/2019 04,5.112.52.255,0,5,12
51,01/22/2019 04,54.36.149.93,0,3,0
52,01/22/2019 04,54.36.148.11,0,0,1
53,01/22/2019 04,204.18.198.249,11,55,76
54,01/22/2019 04,40.77.167.130,26,36,23
55,01/22/2019 04,66.249.66.195,138,42,97
56,01/22/2019 04,66.111.54.250,108,147,73
57,01/22/2019 04,54.36.149.18,0,17,0
58,01/22/2019 04,5.209.200.219,99,49,62
59,01/22/2019 04,54.36.149.42,0,18,0
60,01/22/2019 04,31.56.96.52,90,47,83
61,01/22/2019 04,54.36.148.233,8,0,0
62,01/22/2019 04,157.55.39.246,22,0,3
63,01/22/2019 04,66.249.66.92,37,7,89
64,01/22/2019 04,66.249.64.67,9,0,0
65,01/22/2019 04,51.15.15.55,30,0,0
66,01/22/2019 04,2.179.141.99,2,28,33
67,01/22/2019 04,207.46.13.116,7,5,20
68,01/22/2019 04,2.185.221.80,0,4,0
69,01/22/2019 04,178.253.33.52,7,3,13
70,01/22/2019 04,173.249.54.68,5,58,7
71,01/22/2019 04,46.224.77.33,8,6,3
72,01/22/2019 04,5.78.180.76,0,22,0
73,01/22/2019 04,54.36.149.59,0,5,0
74,01/22/2019 04,54.36.148.162,0,7,0
75,01/22/2019 04,5.160.157.21,23,3,0
76,01/22/2019 04,54.36.149.71,0,14,0
77,01/22/2019 04,54.36.148.118,0,0,3
78,01/22/2019 04,54.36.148.33,19,0,0
79,01/22/2019 04,54.36.149.64,0,0,17
80,01/22/2019 04,5.78.198.53,14,116,53
81,01/22/2019 04,54.36.148.18,0,12,0
82,01/22/2019 04,172.20.2.175,0,0,1
83,01/22/2019 04,5.62.206.250,9,0,0
84,01/22/2019 04,54.36.148.88,0,4,0
85,01/22/2019 04,207.46.13.137,11,18,66
